company_name,symbol
Ashok Leyland Ltd.,ASHOKLEYT0
Ashok Leyland Ltd.,ASHOKLEYEQ
Force Motors Ltd.,FORCEMOTEQ
Eicher Motors Ltd.,EICHERMOTEQ1
Eicher Motors Ltd.,EICHERMOTEQ
Hindustan Motors Ltd.,HINDMOTORSBE
SML Isuzu Ltd.,SWARAJMAZDEQ1
SML Isuzu Ltd.,SMLISUZUEQ
Tata Motors Ltd.,TATAMOTORSEQ
Tata Motors Ltd.,TELCOTT
Tata Motors Ltd.,TELCON2
Tata Motors Ltd.,TELCON3
Tata Motors Ltd.,TELCOD1
Tata Motors Ltd.,TATAMOTORSW1
Tata Motors Ltd.,TATAMTRDVREQ
Tata Technologies Ltd.,TATATECHEQ
Premier Ltd.,PREMAUTOEQ1
Premier Ltd.,PREMIERBE
Mahindra & Mahindra Ltd.,M&MEQ
Tech Mahindra Ltd.,TECHMEQ
Mahindra & Mahindra Financial Services Ltd.,M&MFINEQ
Mahindra & Mahindra Financial Services Ltd.,M&MFIN-REBE
Mahindra & Mahindra Financial Services Ltd.,M&MFINN1
Mahindra & Mahindra Financial Services Ltd.,M&MFINN2
Mahindra & Mahindra Financial Services Ltd.,M&MFINN3
Maruti Suzuki India Ltd.,MARUTIEQ
Hyundai Motor India Ltd.,HYUNDAIEQ
VST Tillers Tractors Ltd.,VSTTILLERSEQ
Balu Forge Industries Ltd.,BALUFORGEEQ
Bajaj Holdings & Investment Ltd.,BAJAJHLDNGEQ
Escorts Kubota Ltd.,ESCORTSEQ
Escorts Kubota Ltd.,ESCORTSN1
Escorts Kubota Ltd.,ESCORTSN4
Escorts Kubota Ltd.,ESCORTSW1
Hero MotoCorp Ltd.,HEROMOTOCOEQ
Kinetic Engineering Ltd.,KINETICENGEQ1
Kinetic Engineering Ltd.,KINETICENGEQ
TVS Motor Company Ltd.,TVSMOTOREQ
Maharashtra Scooters Ltd.,MAHSCOOTEREQ1
Maharashtra Scooters Ltd.,MAHSCOOTEREQ
Majestic Auto Ltd.,MAJESAUTOEQ1
Majestic Auto Ltd.,MAJESAUTOEQ
Atul Auto Ltd.,ATULAUTOEQ
Bajaj Auto Ltd.,BAJAJ-AUTOT0
Bajaj Auto Ltd.,BAJAJ-AUTOEQ
Exide Industries Ltd.,EXIDEINDEQ
Standard Batteries Ltd.,STANDRDBATBE
Goldstar Power Ltd.,GOLDSTARSM
Bharat Gears Ltd.,BHARATGEAREQ1
Bharat Gears Ltd.,BHARATGEAREQ
Bharat Gears Ltd.,BGEAR-REBE
The Hi-Tech Gears Ltd.,HITECHGEARBE
JTEKT India Ltd.,SONASTEEREQ1
JTEKT India Ltd.,JTEKTINDIAEQ
ZF Steering Gear (India) Ltd.,ZFSTEERINGBE
Automotive Axles Ltd.,AUTOAXLESEQ1
Automotive Axles Ltd.,AUTOAXLESEQ
Hindustan Composites Ltd.,HINDCOMPOSEQ
Rane Holdings Ltd.,RANEMADRASEQ1
Rane Holdings Ltd.,RANEHOLDINEQ
Rico Auto Industries Ltd.,RICOAUTOEQ1
Rico Auto Industries Ltd.,RICOAUTOEQ
Rane (Madras) Ltd.,RMLEQ
Wheels India Ltd.,WHEELSEQ1
Wheels India Ltd.,WHEELSEQ
Steel Strips Wheels Ltd.,SSWLEQ
PAE Ltd.,PREMAUTOELEQ1
PAE Ltd.,PAELEQ
India Nippon Electricals Ltd.,INDNIPPONEQ1
India Nippon Electricals Ltd.,INDNIPPONEQ
UNO Minda Ltd.,UNOMINDAEQ
UNO Minda Ltd.,MINDA-REBE
Ultra Wiring Connectivity Systems Ltd.,UWCSLSM
Banco Products (India) Ltd.,BANCOPRODEQ1
Banco Products (India) Ltd.,BANCOINDIAEQ
Federal-Mogul Goetze (India) Ltd.,GOETZEINDEQ1
Federal-Mogul Goetze (India) Ltd.,FMGOETZEEQ
Harig Crankshafts Ltd.,HARIGCRANKBE
Talbros Automotive Components Ltd.,TALBROAUTOEQ
UCAL Ltd.,UCALFUELEQ1
UCAL Ltd.,UCALEQ
Bosch Ltd.,BOSCHLTDEQ
I P Rings Ltd.,IPRINGSEQ1
I P Rings Ltd.,IPRINGLTDEQ
Jullundur Motor Agency (Delhi) Ltd.,JMAEQ
Autoline Industries Ltd.,AUTOINDEQ
Rane Engine Valve Ltd.,RANEENGINEBE
GNA Axles Ltd.,GNAEQ
Sintercom India Ltd.,SINTERCOMEQ
Varroc Engineering Ltd.,VARROCEQ
Autolite (India) Ltd.,AUTOLITINDBZ
Lumax Industries Ltd.,LUMAXINDEQ1
Lumax Industries Ltd.,LUMAXINDEQ
FIEM Industries Ltd.,FIEMINDEQ
Uravi T & Wedge Lamps Ltd.,URAVIBE
Subros Ltd.,SUBROSEQ1
Subros Ltd.,SUBROSEQ
Suprajit Engineering Ltd.,SUPRAJITEQ
Gabriel India Ltd.,GABRIELEQ1
Gabriel India Ltd.,GABRIELEQ
Munjal Showa Ltd.,MUNJALSHOWEQ1
Munjal Showa Ltd.,MUNJALSHOWEQ
Jamna Auto Industries Ltd.,JAMNAAUTOEQ
Remsons Industries Ltd.,REMSONSINDEQ
Sundaram Brake Lining Ltd.,SUNDRMBRAKEQ1
Sundaram Brake Lining Ltd.,SUNDRMBRAKBE
ANG Industries Ltd.,ANGINDBZ
Rane Brake Lining Ltd.,RBLBE
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIAEQ
Automobile Corporation Of Goa Ltd.,AUTOCORPBE
Jay Bharat Maruti Ltd.,JAYBARMARUEQ1
Jay Bharat Maruti Ltd.,JAYBARMARUEQ
Omax Autos Ltd.,OMAXAUTOEQ
Automotive Stampings and Assemblies Ltd.,ASALEQ
Samvardhana Motherson International Ltd.,MOTHERSONT0
Samvardhana Motherson International Ltd.,MOTHERSUMIEQ1
Samvardhana Motherson International Ltd.,MOTHERSONEQ
Shriram Pistons & Rings Ltd.,SHRIPISTONEQ
JMT Auto Ltd.,JMTAUTOLTDBZ
JBM Auto Ltd.,JBMAEQ
Shivam Autotech Ltd.,SHIVAMAUTOBE
Shivam Autotech Ltd.,SHIVAM-REBE
Lumax Auto Technologies Ltd.,LUMAXTECHEQ
PPAP Automotive Ltd.,PPAPEQ
Minda Corporation Ltd.,MINDACORPEQ
Sandhar Technologies Ltd.,SANDHAREQ
Happy Forgings Ltd.,HAPPYFORGEEQ
Divgi Torqtransfer Systems Ltd.,DIVGIITTSEQ
NDR Auto Components Ltd.,NDRAUTOEQ
Mandeep Auto Industries Ltd.,MANDEEPSM
Apollo Tyres Ltd.,APOLLOTYREEQ
Ceat Ltd.,CEATEQ1
Ceat Ltd.,CEATLTDEQ
Goodyear India Ltd.,GOODYEAREQ1
Goodyear India Ltd.,GOODYEAREQ
JK Tyre & Industries Ltd.,JKINDEQ1
JK Tyre & Industries Ltd.,JKTYREEQ
Modi Rubber Ltd.,MODIRUBBEREQ1
Modi Rubber Ltd.,MODIRUBBERBE
PTL Enterprises Ltd.,PTLEQ
TVS Srichakra Ltd.,SRICHAKTYREQ1
TVS Srichakra Ltd.,TVSSRICHAKEQ
MRF Ltd.,MRFT0
MRF Ltd.,MRFEQ
Innovative Tyres & Tubes Ltd.,INNOVATIVESM
Birla Tyres Ltd.,BIRLATYREBE
Tolins Tyres Ltd.,TOLINSEQ
Goa Carbons Ltd.,GOACARBONEQ
Oriental Carbon & Chemicals Ltd.,OCCLBE
PCBL Ltd.,PHILIPCARBEQ1
PCBL Ltd.,PCBLEQ
Hi-Green Carbon Ltd.,HIGREENST
Bikewo Green Tech Ltd.,BIKEWOSM
Jay Jalaram Technologies Ltd.,KORESM
Fonebox Retail Ltd.,FONEBOXSM
V-Mart Retail Ltd.,VMARTEQ
Future Retail Ltd.,FRETAILBZ
Avenue Supermarts Ltd.,DMARTEQ
Heads UP Ventures Ltd.,HEADSUPEQ
Praxis Home Retail Ltd.,PRAXISBE
Praxis Home Retail Ltd.,PRAXIS-REBE
Praxis Home Retail Ltd.,Praxis-RE1BE
Osia Hyper Retail Ltd.,OSIAHYPERBE
Magson Retail & Distribution Ltd.,MAGSONSM
Aditya Birla Fashion and Retail Ltd.,ABFRLEQ
Aditya Birla Fashion and Retail Ltd.,ABFRLPP1E1
Aditya Birla Fashion and Retail Ltd.,ABFRL-REBE
Future Lifestyle Fashions Ltd.,FLFLBZ
