user_query,Preprocessed,Raw SQL,Final SQL,result,
"Give me the 10-day, 20-day, 30-day, and 6-month performance of all Nifty50 stocks whenever it has given 3 consecutive weeks of positive gains.","**Preprocessed Query:**

Intent: Retrieve the 10-day, 20-day, 30-day, and 6-month performance of Nifty50 stocks when they have shown 3 cocutive weeks of positive gains.

Required Tables:
- `master_prime_1d`
- `equity_prices_1d`

Columns:
- `security_code` (master_prime_1d, equity_prices_1d)
- `company_name` (master_prime_1d)
- `short_company_name` (master_prime_1d)
- `industry_name` (master_prime_1d)
- `broad_industry_name` (master_prime_1d)
- `major_sector_name` (master_prime_1d)
- `index_name` (master_prime_1d)
- `date_time` (equity_prices_1d)
- `open` (equity_prices_1d)
- `high` (equity_prices_1d)
- `low` (equity_prices_1d)
- `close` (equity_prices_1d)
- `volume` (equity_prices_1d)

Conditions:
- Identify Nifty50 stocks with 3 cocutive weeks of positive gains

Aggregations:
- Calculate the performance over 10-day, 20-day, 30-day, and 6-month periods for the identified stocks

Sorting/Grouping:
- No specific sorting/grouping mentioned

Validation:
- Validate that all columns strictly belong to the specified tables in the schema

Adjusted Components:
- Excluded any columns not present in the specified schema

Structured Output:
```
SELECT 
    m.security_code,
    m.company_name,
    m.short_company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ep.date_time,
    ep.open,
    ep.high,
    ep.low,
    ep.close,
    ep.volume
FROM 
    master_prime_1d m
JOIN 
    equity_prices_1d ep ON m.security_code = ep.security_code
WHERE
    -- Conditions for identifying Nifty50 stocks with 3 cocutive weeks of positive gains
    -- Performance calculations over 10-day, 20-day, 30-day, and 6-month periods
```","```sql
SELECT 
    m.security_code,
    m.company_name,
    m.short_company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ep.date_time,
    ep.open,
    ep.high,
    ep.low,
    ep.close,
    ep.volume
FROM 
    master_prime_1d AS m
JOIN 
    equity_prices_1d AS ep ON m.security_code = ep.security_code
WHERE
    ep.date_time <= '2024-11-19 00:00:00'
    -- Conditions for identifying Nifty50 stocks with 3 consecutive weeks of positive gains
    -- Performance calculations over 10-day, 20-day, 30-day, and 6-month periods
```  ","SELECT 
    m.security_code,
    m.company_name,
    m.short_company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ep.date_time,
    ep.open,
    ep.high,
    ep.low,
    ep.close,
    ep.volume
FROM 
    master_prime_1d AS m
JOIN 
    equity_prices_1d AS ep ON m.security_code = ep.security_code
WHERE
    ep.date_time <= '2024-11-19'",[],"('Connection broken: IncompleteRead(0 bytes read, 2 more expected)', IncompleteRead(0 bytes read, 2 more expected))"
Which stocks on NSE showed the highest price increase in the last trading session?,"**Preprocessed Query:**

Intent: Find the stocks on  that showed the highest price increase in the last trading session.

Required Tables:
- `master_prime_1d`
- `equity_prices_1d`

Columns:
- `master_prime_1d.security_code`
- `master_prime_1d.company_name`
- `equity_prices_1d.date_time`
- `equity_prices_1d.security_code`
- `equity_prices_1d.open`
- `equity_prices_1d.high`
- `equity_prices_1d.low`
- `equity_prices_1d.close`

Conditions:
- Filter data for the last trading session.

Aggregations:
- Calculate the price increase for each stock by subtracting the opening price from the closing price.

Sorting:
- Identify the stocks with the highest price increase.

**Structured Query:**

```sql
SELECT mp.security_code, mp.company_name, ep.date_time, ep.open, ep.high, ep.low, ep.close, (ep.close - ep.open) AS price_increase
FROM master_prime_1d mp
JOIN equity_prices_1d ep ON mp.security_code = ep.security_code
WHERE ep.date_time = (SELECT MAX(date_time) FROM equity_prices_1d)
ORDER BY price_increase DESC
LIMIT 1;
``` 

This query will return the stock on  that showed the highest price increase in the last trading session, along with relevant details such as company name, prices, and the calculated price increase.","```sql
SELECT mp.security_code, mp.company_name, ep.date_time, ep.open, ep.high, ep.low, ep.close, (ep.close - ep.open) AS price_increase
FROM master_prime_1d mp
JOIN equity_prices_1d ep ON mp.security_code = ep.security_code
WHERE ep.date_time = '2024-11-19 00:00:00'
ORDER BY price_increase DESC
LIMIT 1;
``` ","SELECT mp.security_code, mp.company_name, ep.date_time, ep.open, ep.high, ep.low, ep.close, (ep.close - ep.open) AS price_increase
FROM master_prime_1d mp
JOIN equity_prices_1d ep ON mp.security_code = ep.security_code
WHERE ep.date_time = '2024-11-19'
ORDER BY price_increase DESC
LIMIT 1;",[],
Which stocks had the highest volume traded/volume buzzer compared to yesterday on NSE?,"{
    ""Intent"": ""Retrieve stocks with the highest volume traded compared to yesterday on "",
    ""Tables"": [""equity_prices_1d""],
    ""Columns"": [""security_code"", ""volume""],
    ""Conditions"": [""date_time = CURRENT_DATE - INTERVAL 1 DAY""],
    ""Join"": ""N/A"",
    ""Aggregations"": [""MAX(volume) as max_volume""],
    ""Sorting"": ""max_volume DESC"",
    ""Grouping"": ""security_code""
}","```sql
SELECT security_code, MAX(volume) as max_volume
FROM equity_prices_1d
WHERE date_time = '2024-11-19' - INTERVAL 1 DAY
GROUP BY security_code
ORDER BY max_volume DESC
```","SELECT e.security_code, MAX(e.volume) as max_volume
FROM equity_prices_1d e
WHERE e.date_time = '2024-11-18'
GROUP BY e.security_code
ORDER BY max_volume DESC",[],
Which stocks had the highest volume traded/volume buzzer on NSE?,"**Preprocessed Query:**
- **Intent:** Find the stocks with the highest volume traded on .
- **Tables:** `equity_prices_1d`
- **Columns:** `security_code`, `volume`
- **Conditions:** None
- **Aggregations:** `MAX(volume)`
- **Sorting:** `volume DESC`

**Structured Query:**
```sql
SELECT security_code, MAX(volume) AS max_volume
FROM equity_prices_1d
ORDER BY max_volume DESC;
```","```sql
SELECT ep.security_code, MAX(ep.volume) AS max_volume
FROM equity_prices_1d AS ep
WHERE ep.date_time = '2024-11-19 00:00:00'
GROUP BY ep.security_code
ORDER BY max_volume DESC
LIMIT 1;
```","SELECT ep.security_code, MAX(ep.volume) AS max_volume
FROM equity_prices_1d AS ep
WHERE ep.date_time = '2024-11-19'
GROUP BY ep.security_code
ORDER BY max_volume DESC
LIMIT 1;",[],
Which NSE stocks closed above ?1000 with a 10% increase in trading volume compared to their average?,"- Intent: Retrieve  stocks that closed above ?1000 with a 10% increase in trading volume compared to their average.
- Tables: `equity_prices_1d`
- Columns: `security_code`, `close`, `volume`
- Conditions:
    - Filter stocks where `close` > ?1000
    - Calculate the average trading volume for each stock
    - Filter stocks with a 10% increase in trading volume compared to their average
- Aggregations: Average trading volume
- Sorting/Grouping: None

```sql
SELECT security_code
FROM equity_prices_1d
WHERE close > 1000
GROUP BY security_code
HAVING AVG(volume) * 1.1 < MAX(volume)
```","```sql
SELECT ep.security_code
FROM equity_prices_1d ep
WHERE ep.close > 1000
AND toDate(ep.date_time) = toDate('2024-11-19')
GROUP BY ep.security_code
HAVING AVG(ep.volume) * 1.1 < MAX(ep.volume)
```","SELECT ep.security_code
FROM equity_prices_1d ep
INNER JOIN master_prime_1d mp ON ep.security_code = mp.security_code
WHERE ep.close > 1000
AND toDate(ep.date_time) = toDate('2024-11-19')
GROUP BY ep.security_code
HAVING AVG(ep.volume) * 1.1 < MAX(ep.volume)",[],
What are the top 5 most actively traded stocks on NSE today?,"Based on the provided schema and query, here is the preprocessed structured format of the query components:

Intent: Retrieve the top 5 most actively traded stocks on  today.

Tables:
- `master_prime_1d`
- `equity_prices_1d`

Columns:
- `security_code` (from `master_prime_1d`)
- `company_name` (from `master_prime_1d`)
- `volume` (from `equity_prices_1d`)
- `date_time` (from `equity_prices_1d`)

Conditions:
- Filter stocks from  (specific condition not available in schema)

Aggregations:
- Aggregate volume to identify the most actively traded stocks

Sorting:
- Sort by descending order of volume

Note: The specific condition for  stocks is not available in the provided schema. However, the query can be structured to select the top 5 most actively traded stocks based on volume without filtering by stock exchange.

Let me know if you need any SQL query generated based on this preprocessing.","```sql
SELECT m.security_code, m.company_name, SUM(e.volume) AS total_volume
FROM master_prime_1d m
JOIN equity_prices_1d e ON m.security_code = e.security_code
WHERE date_time = '2024-11-19 00:00:00'
GROUP BY m.security_code, m.company_name
ORDER BY total_volume DESC
LIMIT 5;
```","SELECT m.security_code, m.company_name, SUM(e.volume) AS total_volume
FROM master_prime_1d m
JOIN equity_prices_1d e ON m.security_code = e.security_code
WHERE e.date_time = '2024-11-19'
GROUP BY m.security_code, m.company_name
ORDER BY total_volume DESC
LIMIT 5;",[],
Which stocks saw a price gap-up at the open but closed lower than the opening price?,"Structured Query:

Intent: Identifying stocks that experienced a price gap-up at the open but closed lower than the opening price.

Components:
- Tables: equity_prices_1d
- Columns: security_code, date_time, open, close
- Conditions: open price < close price
- Sorting/Grouping: Not specified

SQL Query:
```sql
SELECT security_code, date_time, open, close
FROM equity_prices_1d
WHERE open < close
ORDER BY date_time;
```","```sql
SELECT ep.security_code, ep.date_time, ep.open, ep.close
FROM equity_prices_1d AS ep
WHERE ep.open < ep.close
AND ep.date_time = '2024-11-19'
ORDER BY ep.date_time;
```","SELECT ep.security_code, ep.date_time, ep.open, ep.close
FROM equity_prices_1d AS ep
JOIN master_prime_1d AS mp ON ep.security_code = mp.security_code
WHERE ep.open < ep.close
AND ep.date_time = '2024-11-19'
ORDER BY ep.date_time;",[],
"Give me the 5 best-performing stocks of Nifty500 from 15th September 2023 to 26th October 2023 and filter out 2 among 5 which have the least performance in the next 10 days. Also, show the next 10-day performance.","**Query Preprocessing:**

**Intent:** Find the 5 best-performing stocks of Nifty500 from 15th September 2023 to 26th October 2023 and identify 2 stocks with the least performance in the next 10 days with their performance.

**Required Tables:**
- `master_prime_1d`
- `equity_prices_1d`

**Columns:**
- `master_prime_1d`: security_code, company_name, short_company_name, industry_name, broad_industry_name, major_sector_name, index_name
- `equity_prices_1d`: date_time, security_code, open, high, low, close, volume, version

**Conditions:**
- Stock market data for Nifty500
- Date range: 15th September 2023 to 26th October 2023
- Performance evaluation for the top 5 stocks and their performance for the next 10 days

**Aggregations/Sorting:**
- Identify the 5 best-performing stocks based on a certain metric (to be specified)
- Sort the stocks based on the performance for further filtering

**Next Steps:**
1. Determine the metric for measuring stock performance (e.g., percentage change in closing price)
2. Define the specific columns or computations required to assess stock performance over the given time frames.","```sql
SELECT
    mp.security_code,
    mp.company_name,
    mp.short_company_name,
    mp.industry_name,
    mp.broad_industry_name,
    mp.major_sector_name,
    mp.index_name,
    ep.close AS closing_price,
    ep.date_time AS price_date
FROM
    (
        SELECT
            security_code,
            MAX(close) AS closing_price
        FROM
            equity_prices_1d
        WHERE
            date_time BETWEEN '2023-09-15' AND '2023-10-26'
        GROUP BY
            security_code
        ORDER BY
            closing_price DESC
        LIMIT 5
    ) top_performing
JOIN
    master_prime_1d mp ON top_performing.security_code = mp.security_code
JOIN
    equity_prices_1d ep ON top_performing.security_code = ep.security_code
WHERE
    ep.date_time BETWEEN '2023-10-27' AND '2023-11-05'
ORDER BY
    closing_price
LIMIT 2;
```  ","SELECT
    mp.security_code,
    mp.company_name,
    mp.short_company_name,
    mp.industry_name,
    mp.broad_industry_name,
    mp.major_sector_name,
    mp.index_name,
    ep.close AS closing_price,
    ep.date_time AS price_date
FROM
    (
        SELECT
            security_code,
            MAX(close) AS closing_price
        FROM
            equity_prices_1d
        WHERE
            date_time BETWEEN '2023-09-15' AND '2023-10-26'
        GROUP BY
            security_code
        ORDER BY
            closing_price DESC
        LIMIT 5
    ) top_performing
JOIN
    master_prime_1d mp ON top_performing.security_code = mp.security_code
JOIN
    equity_prices_1d ep ON top_performing.security_code = ep.security_code
WHERE
    ep.date_time BETWEEN '2023-10-27' AND '2023-11-05'
ORDER BY
    closing_price
LIMIT 2;",[],
Give me the performance of all Nifty500 stocks from 15th September 2023 to 26th October 2023.,"Structured Format of the Preprocessed Query:
Intent: Retrieve the performance of all Nifty500 stocks
Tables: equity_prices_1d
Columns: date_time, security_code, open, high, low, close
Conditions: Date range from 15th September 2023 to 26th October 2023
Joins: None
Aggregations: None
Sorting/Grouping: None

Preprocessed SQL Query:
```sql
SELECT date_time, security_code, open, high, low, close
FROM equity_prices_1d
WHERE date_time >= '2023-09-15' AND date_time <= '2023-10-26'
```","SELECT date_time, equity_prices_1d.security_code, open, high, low, close
FROM equity_prices_1d
WHERE date_time >= '2023-09-15' AND date_time <= '2023-10-26'","SELECT equity_prices_1d.date_time, equity_prices_1d.security_code, equity_prices_1d.open, equity_prices_1d.high, equity_prices_1d.low, equity_prices_1d.close
FROM equity_prices_1d
WHERE equity_prices_1d.date_time >= '2023-09-15' AND equity_prices_1d.date_time <= '2023-10-26'",[],
Give me the top 10 best and worst performers of all Nifty500 stocks from 9th September 2024 to 27th September 2024.,"**Query Preprocessing:**

**Intent:** Find the top 10 best and worst performers of all Nifty500 stocks from 9th September 2024 to 27th September 2024.

**Required Tables:**
- `master_prime_1d`
- `equity_prices_1d`

**Columns:**
- `date_time` (from `equity_prices_1d`)
- `security_code` (from both `master_prime_1d` and `equity_prices_1d`)
- `close` (from `equity_prices_1d`)

**Conditions:**
- Date range between 9th September 2024 and 27th September 2024
- Stocks belong to Nifty500 index

**Joins:**
- Join on `security_code` between `master_prime_1d` and `equity_prices_1d`

**Aggregations:**
- Calculate the performance based on the percentage change in the `close` price over the specified date range

**Sorting:**
- Sort the results to identify the top 10 best and worst performers based on the calculated performance

This preprocessing will help in constructing the SQL query to retrieve the top 10 best and worst performers of all Nifty500 stocks within the specified date range.","```sql
SELECT
    m.security_code,
    m.company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ((e.close - e_open) / e_open) * 100 AS performance
FROM
    equity_prices_1d e
JOIN
    master_prime_1d m ON e.security_code = m.security_code
WHERE
    e.date_time >= '2024-09-09' AND e.date_time <= '2024-09-27' AND m.index_name = 'Nifty500'
ORDER BY
    performance DESC
LIMIT 10

UNION ALL

SELECT
    m.security_code,
    m.company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ((e.close - e_open) / e_open) * 100 AS performance
FROM
    equity_prices_1d e
JOIN
    master_prime_1d m ON e.security_code = m.security_code
WHERE
    e.date_time >= '2024-09-09' AND e.date_time <= '2024-09-27' AND m.index_name = 'Nifty500'
ORDER BY
    performance ASC
LIMIT 10
```  ","SELECT
    m.security_code,
    m.company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ((e.close - e.open) / e.open) * 100 AS performance
FROM
    equity_prices_1d e
JOIN
    master_prime_1d m ON e.security_code = m.security_code
WHERE
    e.date_time >= '2024-09-09' AND e.date_time <= '2024-09-27' AND m.index_name = 'Nifty500'
ORDER BY
    performance DESC
LIMIT 10

UNION ALL

SELECT
    m.security_code,
    m.company_name,
    m.industry_name,
    m.broad_industry_name,
    m.major_sector_name,
    m.index_name,
    ((e.close - e.open) / e.open) * 100 AS performance
FROM
    equity_prices_1d e
JOIN
    master_prime_1d m ON e.security_code = m.security_code
WHERE
    e.date_time >= '2024-09-09' AND e.date_time <= '2024-09-27' AND m.index_name = 'Nifty500'
ORDER BY
    performance ASC
LIMIT 10",[],
