user_query,1st output,2nd output raw,2nd output processed,result,Reason
What are the top 5 most actively traded stocks on NSE today?,"- Intent: Find the top 5 stocks with the highest trading volume on  today.
- Required Tables: `master_prime_1d`, `equity_prices_1d`
- Columns: `company_name`, `volume`, `index_name`
- Conditions: `index_name LIKE '%%'`, `date_time = '2024-11-19'`
- Joins: `master_prime_1d.security_code = equity_prices_1d.security_code`
- Aggregations: None
- Sorting/Grouping: Order by `volume` DESC, Limit 5
","```sql
SELECT DISTINCT ""company_name"", ""volume""
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""date_time"" = '2024-11-19' AND ""index_name"" LIKE '%'
ORDER BY ""volume"" DESC
LIMIT 5;
```","
SELECT DISTINCT ""company_name"", ""volume""
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""date_time"" = '2024-11-19' AND ""index_name"" LIKE '%'
ORDER BY ""volume"" DESC
LIMIT 5;",success,
Give me the list of Gap Up stocks.,"- Intent: Retrieve a list of stocks that have gapped up.  A gap up is when a stock's opening price is higher than the previous day's closing price.

- Required Tables: `equity_prices_1d`

- Columns: `date_time`, `security_code`, `open`, `close`, `company_name`

- Conditions: None directly, but a condition will be implemented in the SQL query to compare the current day's opening price with the previous day's closing price.

- Joins:  A self-join will be needed on the `equity_prices_1d` table to compare prices on cocutive days.

- Aggregations: None

- Sorting/Grouping: None explicitly requested, but the result might implicitly be sorted by date.



  
","```sql
SELECT DISTINCT ""t1"".""company_name""
FROM (
    SELECT ""epd1"".""date_time"", ""epd1"".""security_code"", ""epd1"".""open"", ""epd1"".""close"", ""mpd"".""company_name""
    FROM ""equity_prices_1d"" AS ""epd1""
    INNER JOIN ""master_prime_1d"" AS ""mpd"" ON ""epd1"".""security_code"" = ""mpd"".""security_code""
) AS ""t1""
INNER JOIN (
    SELECT ""epd2"".""date_time"", ""epd2"".""security_code"", ""epd2"".""close"" AS ""previous_close""
    FROM ""equity_prices_1d"" AS ""epd2""
) AS ""t2""
ON ""t1"".""security_code"" = ""t2"".""security_code"" AND ""t1"".""date_time"" = toDate(addDays(toDate(""t2"".""date_time""), 1))
WHERE ""t1"".""open"" > ""t2"".""previous_close"";
```","
SELECT DISTINCT ""t1"".""company_name""
FROM (
    SELECT ""epd1"".""date_time"", ""epd1"".""security_code"", ""epd1"".""open"", ""epd1"".""close"", ""mpd"".""company_name""
    FROM ""equity_prices_1d"" AS ""epd1""
    INNER JOIN ""master_prime_1d"" AS ""mpd"" ON ""epd1"".""security_code"" = ""mpd"".""security_code""
) AS ""t1""
INNER JOIN (
    SELECT ""epd2"".""date_time"", ""epd2"".""security_code"", ""epd2"".""close"" AS ""previous_close""
    FROM ""equity_prices_1d"" AS ""epd2""
) AS ""t2""
ON ""t1"".""security_code"" = ""t2"".""security_code"" AND ""t1"".""date_time"" = toDate(addDays(toDate(""t2"".""date_time""), 1))
WHERE ""t1"".""open"" > ""t2"".""previous_close"";",success,
Give me the performance of all Nifty500 stocks from 15th September 2023 to 26th October 2023.,"- Intent: Retrieve the performance (open, high, low, close, volume) of all Nifty 500 stocks between 15th September 2023 and 26th October 2023.
- Required Tables: `master_prime_1d`, `equity_prices_1d`
- Columns: `open`, `high`, `low`, `close`, `volume`, `date_time`,`company_name`
- Conditions: `index_name LIKE '%Nifty 500%'`, `date_time BETWEEN '2023-09-15' AND '2023-10-26'`
- Joins: `master_prime_1d.security_code = equity_prices_1d.security_code`
- Aggregations: None
- Sorting/Grouping: None 
","```sql
SELECT DISTINCT ""company_name"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""date_time""
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""index_name"" LIKE '%Nifty 500%'
  AND ""date_time"" BETWEEN '2023-09-15' AND '2023-10-26';
```","
SELECT DISTINCT ""company_name"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""date_time""
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""index_name"" LIKE '%Nifty 500%'
  AND ""date_time"" BETWEEN '2023-09-15' AND '2023-10-26';",success,
List stocks where today's low > yesterday's high and today's volume is 3x of its average volume on 16th July 2024.,"- Intent: Retrieve stocks where today's low is greater than yesterday's high and today's volume is 3 times its average volume on 16th July 2024.
- Required Tables: `equity_prices_1d`
- Columns: `date_time`, `security_code`, `low`, `high`, `volume`
- Conditions: 
    - `date_time` = '2024-11-19' (today)
    - `low` > (yesterday's high) - subquery to get yesterday's high
    - `volume` = 3 * (average volume on '2024-07-16') - subquery to get average volume
- Joins: None (Self-join for yesterday's data)
- Aggregations: `AVG(volume)` (for calculating average volume)
- Sorting/Grouping: None


```sql
SELECT DISTINCT T1.company_name
FROM master_prime_1d AS T1
INNER JOIN equity_prices_1d AS T2
  ON T1.security_code = T2.security_code
WHERE T2.date_time = '2024-11-19'
  AND T2.low > (
    SELECT high
    FROM equity_prices_1d
    WHERE date_time = '2024-11-18'
      AND security_code = T2.security_code
  )
  AND T2.volume = 3 * (
    SELECT AVG(volume)
    FROM equity_prices_1d
    WHERE date_time = '2024-07-16'
      AND security_code = T2.security_code
  );

```
","```sql
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN (
    SELECT ""security_code"", ""low"", ""volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-11-19'
) AS ""today_prices""
ON ""master_prime_1d"".""security_code"" = ""today_prices"".""security_code""
INNER JOIN (
    SELECT ""security_code"", ""high""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-11-18'
) AS ""yesterday_prices""
ON ""today_prices"".""security_code"" = ""yesterday_prices"".""security_code""
INNER JOIN (
    SELECT ""security_code"", avg(""volume"") AS ""avg_volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-07-16'
    GROUP BY ""security_code""
) AS ""average_volume""
ON ""today_prices"".""security_code"" = ""average_volume"".""security_code""
WHERE ""today_prices"".""low"" > ""yesterday_prices"".""high""
  AND ""today_prices"".""volume"" = 3 * ""average_volume"".""avg_volume"";
```","
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN (
    SELECT ""security_code"", ""low"", ""volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-11-19'
) AS ""today_prices""
ON ""master_prime_1d"".""security_code"" = ""today_prices"".""security_code""
INNER JOIN (
    SELECT ""security_code"", ""high""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-11-18'
) AS ""yesterday_prices""
ON ""today_prices"".""security_code"" = ""yesterday_prices"".""security_code""
INNER JOIN (
    SELECT ""security_code"", avg(""volume"") AS ""avg_volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-07-16'
    GROUP BY ""security_code""
) AS ""average_volume""
ON ""today_prices"".""security_code"" = ""average_volume"".""security_code""
WHERE ""today_prices"".""low"" > ""yesterday_prices"".""high""
  AND ""today_prices"".""volume"" = 3 * ""average_volume"".""avg_volume"";",success,
"List stocks where today's volume > yesterday's volume, and one day ago volume > 2-day ago volume, and 2-day ago volume > 3-day ago volume on 19th July 2024.","- Intent: Retrieve stocks where today's volume is greater than yesterday's, yesterday's volume is greater than 2 days ago, and 2 days ago volume is greater than 3 days ago, specifically on July 19th, 2024.

- Required Tables: `equity_prices_1d`

- Columns: `security_code`, `company_name`, `date_time`, `volume`

- Conditions: 
    - `date_time = '2024-07-19'` (Today)
    - `date_time = '2024-07-18'` (Yesterday)
    - `date_time = '2024-07-17'` (2 days ago)
    - `date_time = '2024-07-16'` (3 days ago)

- Joins: None (Self-joins within `equity_prices_1d`)

- Aggregations: None

- Sorting/Grouping: None


```sql
SELECT DISTINCT t1.company_name
FROM master_prime_1d AS t1
INNER JOIN equity_prices_1d AS t2 ON t1.security_code = t2.security_code
WHERE t2.date_time = '2024-07-19'
  AND t2.volume > (
    SELECT volume
    FROM equity_prices_1d
    WHERE security_code = t2.security_code
      AND date_time = '2024-07-18'
  )
  AND (
    SELECT volume
    FROM equity_prices_1d
    WHERE security_code = t2.security_code
      AND date_time = '2024-07-18'
  ) > (
    SELECT volume
    FROM equity_prices_1d
    WHERE security_code = t2.security_code
      AND date_time = '2024-07-17'
  )
  AND (
    SELECT volume
    FROM equity_prices_1d
    WHERE security_code = t2.security_code
      AND date_time = '2024-07-17'
  ) > (
    SELECT volume
    FROM equity_prices_1d
    WHERE security_code = t2.security_code
      AND date_time = '2024-07-16'
  );

```
","```sql
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d"" AS t1
INNER JOIN ""equity_prices_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code"" AND t3.""date_time"" = '2024-07-18'
INNER JOIN ""equity_prices_1d"" AS t4 ON t1.""security_code"" = t4.""security_code"" AND t4.""date_time"" = '2024-07-17'
INNER JOIN ""equity_prices_1d"" AS t5 ON t1.""security_code"" = t5.""security_code"" AND t5.""date_time"" = '2024-07-16'
WHERE t2.""date_time"" = '2024-07-19' AND t2.""volume"" > t3.""volume"" AND t3.""volume"" > t4.""volume"" AND t4.""volume"" > t5.""volume"";
```","
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d"" AS t1
INNER JOIN ""equity_prices_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code"" AND t3.""date_time"" = '2024-07-18'
INNER JOIN ""equity_prices_1d"" AS t4 ON t1.""security_code"" = t4.""security_code"" AND t4.""date_time"" = '2024-07-17'
INNER JOIN ""equity_prices_1d"" AS t5 ON t1.""security_code"" = t5.""security_code"" AND t5.""date_time"" = '2024-07-16'
WHERE t2.""date_time"" = '2024-07-19' AND t2.""volume"" > t3.""volume"" AND t3.""volume"" > t4.""volume"" AND t4.""volume"" > t5.""volume"";",success,
List stocks whose volume is -20% than 2 days before volume on 27th September 2024.,"- Intent: Find stocks whose volume on 27th September 2024 was 20% less than their volume on 25th September 2024.
- Required Tables: `equity_prices_1d`, `master_prime_1d`
- Columns: `equity_prices_1d.date_time`, `equity_prices_1d.volume`, `equity_prices_1d.security_code`, `master_prime_1d.company_name`
- Conditions: `equity_prices_1d.date_time = '2024-09-27'` and `equity_prices_1d.volume < 0.8 * (volume on '2024-09-25' for the same security)`
- Joins: `equity_prices_1d.security_code = master_prime_1d.security_code`
- Aggregations: None
- Sorting/Grouping: None


```sql
SELECT DISTINCT T1.company_name
FROM master_prime_1d AS T1
INNER JOIN equity_prices_1d AS T2
  ON T1.security_code = T2.security_code
WHERE
  T2.date_time = '2024-09-27'
  AND T2.volume < 0.8 * (
    SELECT
      volume
    FROM equity_prices_1d
    WHERE
      security_code = T2.security_code AND date_time = '2024-09-25'
  );
```
","```sql
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN ""equity_prices_1d"" AS t2 ON ""master_prime_1d"".""security_code"" = t2.""security_code""
INNER JOIN (
    SELECT ""security_code"", ""volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-09-25'
) AS t3 ON t2.""security_code"" = t3.""security_code""
WHERE t2.""date_time"" = '2024-09-27' AND t2.""volume"" < 0.8 * t3.""volume"";
```","
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN ""equity_prices_1d"" AS t2 ON ""master_prime_1d"".""security_code"" = t2.""security_code""
INNER JOIN (
    SELECT ""security_code"", ""volume""
    FROM ""equity_prices_1d""
    WHERE ""date_time"" = '2024-09-25'
) AS t3 ON t2.""security_code"" = t3.""security_code""
WHERE t2.""date_time"" = '2024-09-27' AND t2.""volume"" < 0.8 * t3.""volume"";",success,
Give me a 5-day average price for Nifty50 stocks on 16th July 2024.,"- Intent: Retrieve the 5-day average price for Nifty50 stocks on 16-07-2024.
- Required Tables: `master_prime_1d`, `equity_prices_1d`
- Columns: `close`, `index_name`, `date_time`
- Conditions: `index_name LIKE '%Nifty50%'`, `date_time BETWEEN '2024-07-11' AND '2024-07-16'`
- Joins: `master_prime_1d.security_code = equity_prices_1d.security_code`
- Aggregations: `avg(close)`
- Sorting/Grouping: None
","```sql
SELECT avg(""close"") AS average_closing_price
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""master_prime_1d"".""index_name"" LIKE '%Nifty50%'
  AND ""equity_prices_1d"".""date_time"" BETWEEN '2024-07-11' AND '2024-07-16';
```","
SELECT avg(""close"") AS average_closing_price
FROM ""equity_prices_1d""
INNER JOIN ""master_prime_1d"" ON ""equity_prices_1d"".""security_code"" = ""master_prime_1d"".""security_code""
WHERE ""master_prime_1d"".""index_name"" LIKE '%Nifty50%'
  AND ""equity_prices_1d"".""date_time"" BETWEEN '2024-07-11' AND '2024-07-16';",success,
List stocks closing below yesterday's high on 20th September 2024.,"- Intent: Retrieve the list of company names whose closing price on 20th September 2024 was below their respective high price on 19th September 2024.
- Required Tables: `equity_prices_1d`
- Columns: `company_name`, `close`, `high`,`date_time`
- Conditions: `date_time = '2024-09-20'` for closing price and `date_time = '2024-09-19'` for high price.  Closing price < Previous day's high price.
- Joins: Self-join on `security_code` to compare prices on different dates.
- Aggregations: None
- Sorting/Grouping: None


```sql
SELECT DISTINCT t1.company_name
FROM equity_prices_1d AS t1
INNER JOIN master_prime_1d AS t2
ON t1.security_code=t2.security_code
INNER JOIN equity_prices_1d AS t3
  ON t1.security_code = t3.security_code
WHERE t1.date_time = '2024-09-20'
  AND t3.date_time = '2024-09-19'
  AND t1.close < t3.high;
```
","```sql
SELECT DISTINCT ""company_name""
FROM ""equity_prices_1d"" AS t1
INNER JOIN ""master_prime_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code""
WHERE t1.""date_time"" = '2024-09-20' AND t3.""date_time"" = '2024-09-19' AND t1.""close"" < t3.""high"";
```","
SELECT DISTINCT ""company_name""
FROM ""equity_prices_1d"" AS t1
INNER JOIN ""master_prime_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code""
WHERE t1.""date_time"" = '2024-09-20' AND t3.""date_time"" = '2024-09-19' AND t1.""close"" < t3.""high"";",success,
List stocks opening above yesterday's high on 20th September 2024.,"- Intent: Retrieve the list of stocks whose opening price on 20th September 2024 was higher than their respective high price on 19th September 2024.
- Required Tables: `equity_prices_1d`
- Columns: `security_code`, `open`, `high`, `date_time`
- Conditions:  `date_time = '2024-09-20'` for open prices and `date_time = '2024-09-19'` for high prices.
- Joins: Self-join on `security_code`
- Aggregations: None
- Sorting/Grouping: None","```sql
SELECT DISTINCT t1.""company_name""
FROM ""master_prime_1d"" AS t1
INNER JOIN ""equity_prices_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code""
WHERE t2.""date_time"" = '2024-09-20' AND t3.""date_time"" = '2024-09-19' AND t2.""open"" > t3.""high"";
```","
SELECT DISTINCT t1.""company_name""
FROM ""master_prime_1d"" AS t1
INNER JOIN ""equity_prices_1d"" AS t2 ON t1.""security_code"" = t2.""security_code""
INNER JOIN ""equity_prices_1d"" AS t3 ON t1.""security_code"" = t3.""security_code""
WHERE t2.""date_time"" = '2024-09-20' AND t3.""date_time"" = '2024-09-19' AND t2.""open"" > t3.""high"";",success,
List stocks closing above the previous weekly candle closing price on 20th September 2024.,"- Intent: Retrieve the list of stocks whose closing price on 20th September 2024 was higher than the closing price of the previous weekly candle.

- Required Tables: `equity_prices_1d`

- Columns: `date_time`, `security_code`, `close`, `company_name`

- Conditions: `date_time = '2024-09-20'` 

- Joins:  `master_prime_1d.security_code = equity_prices_1d.security_code`

- Aggregations: None

- Sorting/Grouping: None



```sql
SELECT DISTINCT T1.company_name
FROM master_prime_1d AS T1
INNER JOIN equity_prices_1d AS T2
  ON T1.security_code = T2.security_code
WHERE
  T2.date_time = '2024-09-20'
  AND T2.close > (
    SELECT
      close
    FROM equity_prices_1d
    WHERE
      date_time = '2024-09-13' AND security_code = T2.security_code
  );
```
","```sql
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN ""equity_prices_1d"" AS T1 ON ""master_prime_1d"".""security_code"" = T1.""security_code""
INNER JOIN ""equity_prices_1d"" AS T2 ON ""master_prime_1d"".""security_code"" = T2.""security_code""
WHERE T1.""date_time"" = '2024-09-20' AND T2.""date_time"" = '2024-09-13' AND T1.""close"" > T2.""close"";
```","
SELECT DISTINCT ""company_name""
FROM ""master_prime_1d""
INNER JOIN ""equity_prices_1d"" AS T1 ON ""master_prime_1d"".""security_code"" = T1.""security_code""
INNER JOIN ""equity_prices_1d"" AS T2 ON ""master_prime_1d"".""security_code"" = T2.""security_code""
WHERE T1.""date_time"" = '2024-09-20' AND T2.""date_time"" = '2024-09-13' AND T1.""close"" > T2.""close"";",success,
